Epoch: 0  time/epoch: 6.557  correct: 26 loss: 7.220781384505632
Epoch: 1  time/epoch: 3.334  correct: 32 loss: 7.390606760444058
Epoch: 2  time/epoch: 3.201  correct: 35 loss: 6.617989165841741
Epoch: 3  time/epoch: 2.582  correct: 39 loss: 6.753933468784021
Epoch: 4  time/epoch: 1.842  correct: 36 loss: 7.467704206168016
Epoch: 5  time/epoch: 1.906  correct: 39 loss: 6.7500707251237415
Epoch: 6  time/epoch: 1.87  correct: 36 loss: 6.750359497372681
Epoch: 7  time/epoch: 1.874  correct: 37 loss: 7.197602014508248
Epoch: 8  time/epoch: 2.186  correct: 36 loss: 6.530850448075883
Epoch: 9  time/epoch: 2.809  correct: 36 loss: 6.27997573600956
Epoch: 10  time/epoch: 3.188  correct: 37 loss: 6.497721970476413
Epoch: 11  time/epoch: 3.56  correct: 38 loss: 6.706889453126816
Epoch: 12  time/epoch: 3.539  correct: 37 loss: 6.486288911499264
Epoch: 13  time/epoch: 3.282  correct: 36 loss: 6.149153322294605
Epoch: 14  time/epoch: 2.32  correct: 36 loss: 6.664589299922099
Epoch: 15  time/epoch: 1.899  correct: 36 loss: 6.897110431105352
Epoch: 16  time/epoch: 1.831  correct: 39 loss: 6.45929159259438
Epoch: 17  time/epoch: 2.103  correct: 39 loss: 6.453194613462006
Epoch: 18  time/epoch: 2.87  correct: 37 loss: 6.764857082325471
Epoch: 19  time/epoch: 3.205  correct: 35 loss: 6.695705178823634
Epoch: 20  time/epoch: 3.238  correct: 36 loss: 6.786168661170165
Epoch: 21  time/epoch: 3.262  correct: 36 loss: 6.053240486138916
Epoch: 22  time/epoch: 1.85  correct: 36 loss: 6.4474130678958925
Epoch: 23  time/epoch: 1.895  correct: 36 loss: 5.670497481744762
Epoch: 24  time/epoch: 1.922  correct: 35 loss: 5.904756056373374
Epoch: 25  time/epoch: 1.876  correct: 36 loss: 6.058066334334968
Epoch: 26  time/epoch: 1.902  correct: 37 loss: 6.374359148185567
Epoch: 27  time/epoch: 2.722  correct: 38 loss: 6.1720837280154
Epoch: 28  time/epoch: 3.023  correct: 36 loss: 6.915368960110694
Epoch: 29  time/epoch: 3.205  correct: 36 loss: 6.157012149112741
Epoch: 30  time/epoch: 3.168  correct: 38 loss: 5.538619017360223
Epoch: 31  time/epoch: 2.598  correct: 37 loss: 5.937103643083663
Epoch: 32  time/epoch: 1.834  correct: 38 loss: 6.22130832712581
Epoch: 33  time/epoch: 1.84  correct: 37 loss: 6.087525579146463
Epoch: 34  time/epoch: 1.943  correct: 37 loss: 5.273623915827988
Epoch: 35  time/epoch: 1.846  correct: 37 loss: 5.637428239188276
Epoch: 36  time/epoch: 2.161  correct: 36 loss: 4.87823882290561
Epoch: 37  time/epoch: 2.85  correct: 37 loss: 6.421066062736867
Epoch: 38  time/epoch: 3.205  correct: 38 loss: 4.733907446176506
Epoch: 39  time/epoch: 3.195  correct: 38 loss: 5.285769708894828
Epoch: 40  time/epoch: 3.276  correct: 38 loss: 5.199587177732886
Epoch: 41  time/epoch: 1.92  correct: 38 loss: 6.149931247151453
Epoch: 42  time/epoch: 1.851  correct: 38 loss: 4.955949824925236
Epoch: 43  time/epoch: 1.868  correct: 39 loss: 5.853533007000493
Epoch: 44  time/epoch: 1.924  correct: 40 loss: 5.612941097166681
Epoch: 45  time/epoch: 1.876  correct: 39 loss: 5.7159836598510845
Epoch: 46  time/epoch: 2.615  correct: 40 loss: 5.396710556061018
Epoch: 47  time/epoch: 3.02  correct: 44 loss: 6.123262105772859
Epoch: 48  time/epoch: 3.231  correct: 41 loss: 6.0920949693865705
Epoch: 49  time/epoch: 3.115  correct: 40 loss: 5.934123313045278
Epoch: 50  time/epoch: 2.75  correct: 40 loss: 4.350080585544218
Epoch: 51  time/epoch: 2.065  correct: 40 loss: 4.848219087320849
Epoch: 52  time/epoch: 1.845  correct: 42 loss: 5.108113482703654
Epoch: 53  time/epoch: 1.904  correct: 41 loss: 5.873838116441611
Epoch: 54  time/epoch: 1.841  correct: 45 loss: 5.5500633463238085
Epoch: 55  time/epoch: 2.123  correct: 45 loss: 4.556753890904895
Epoch: 56  time/epoch: 2.734  correct: 45 loss: 5.267139180743829
Epoch: 57  time/epoch: 3.322  correct: 45 loss: 4.923646070068543
Epoch: 58  time/epoch: 3.222  correct: 45 loss: 4.5565629052564045
Epoch: 59  time/epoch: 3.207  correct: 45 loss: 4.072783446579727
Epoch: 60  time/epoch: 1.949  correct: 46 loss: 5.033295186902836
